intake_year,school_name,la_code,estab_code,dfe_no,pan,total_preferences,total_offered,last_distance_offered
2019,All Saints Church of England (Aided) Infant School,936,3407,936/3407,30,146,30,3.098
2019,Badshot Lea Village Infant School,936,2415,936/2415,45,139,45,1.932
2019,Beacon Hill Primary School,936,2136,936/2136,30,65,30,1.208
2019,Bramley Church of England (Aided) Infant School,936,3925,936/3925,30,64,23,
2019,Busbridge Infant School,936,2917,936/2917,60,276,61,1.006
2019,Cranleigh Church of England Primary School,936,3944,936/3944,30,64,29,
2019,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,30,63,23,12.71
2019,Farncombe Church of England Infant School,936,3026,936/3026,50,180,50,
2019,Folly Hill Infant School,936,2408,936/2408,30,73,24,
2019,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,30,128,30,4.324
2019,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,30,13,28,
2019,Hale School,936,2957,936/2957,60,51,30,
2019,Highfield South Farnham Primary School,936,2033,936/2033,30,120,46,
2019,Loseley Fields Primary School,936,3939,936/3939,60,92,60,
2019,Milford School,936,2315,936/2315,60,166,60,1.875
2019,Moss Lane School,936,2409,936/2409,60,263,60,0.664
2019,Park Mead Primary School,936,5211,936/5211,60,77,56,
2019,Potters Gate Church of England Primary School,936,3062,936/3062,60,170,60,2.213
2019,Shottermill Infant School,936,2138,936/2138,60,144,60,1.711
2019,South Farnham School,936,2479,936/2479,90,220,90,1.494
2019,St Andrew's Church of England Infant School,936,3024,936/3024,30,141,30,2.283
2019,St Bartholomew's Church of England (Aided) Primary School,936,3924,936/3924,60,129,56,
2019,St Cuthbert Mayne Catholic Primary School,936,3475,936/3475,30,45,20,7.733
2019,St Edmund's Catholic Primary School,936,3462,936/3462,30,58,30,
2019,St James Church of England (Aided) Primary School,936,3335,936/3335,30,64,29,7.967
2019,St John's Church of England (Aided) Infant School,936,3347,936/3347,30,47,19,13.488
2019,"St Mary's Church of England (Aided) Infant School, Frensham",936,3346,936/3346,30,131,30,5.18
2019,St Mary's Church of England Primary School,936,2020,936/2020,30,57,30,
2019,St Peter's Church of England Primary School,936,3345,936/3345,60,121,47,4.705
2019,"St Polycarp's Catholic Primary School, Farnham",936,3424,936/3424,60,121,57,5.689
2019,William Cobbett Primary School,936,2478,936/2478,30,130,30,0.487
2019,Witley Church of England (Controlled) Infant School,936,3060,936/3060,30,125,30,2.102
2019,Wonersh & Shamley Green Church of England (Aided) Primary School,936,3417,936/3417,30,92,30,3.597
