"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (name)","EstablishmentTypeGroup (name)","EstablishmentStatus (name)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (name)","Gender (name)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (name)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (name)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","LastChangedDate","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","BSOInspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (name)","DistrictAdministrative (name)","AdministrativeWard (name)","ParliamentaryConstituency (name)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","InspectorateName (name)","SENStat","SENNoStat","PropsName","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","QABName (name)","EstablishmentAccredited (name)","QABReport","CHNumber","MSOA (code)","LSOA (code)"
20115,"936","Surrey","","Ash Grange Sure Start Children's Centre","Children's centre","Children's Centres","Open","","11-06-2009","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","07-03-2016","Ash Grange Primary School","Ash Church Road","","Ash","Surrey","GU12 6LX","www.ash-grange.surrey.sch.uk","01252-350225","","Pamela","Henry","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Guildford","Ash South and Tongham","Surrey Heath","(England/Wales) Urban city and town","X999999",489790,150760,"","Guildford 014","Guildford 014A","","","","","","South-East England and South London","","100062324547","","Not applicable","Not applicable","","","E02006357","E01030421"
20128,"936","Surrey","","Ashtead Sure Start Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","07-01-2016","St. Georges Christian Centre","Barnett Wood Lane","","Ashtead","Surrey","KT21 2RA","/www.ashteadchildrenscentre.com","01372-276410","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Mole Valley","Ashtead Village","Epsom and Ewell","(England/Wales) Urban major conurbation","X999999",518149,158168,"","Mole Valley 002","Mole Valley 002D","","","","","","South-East England and South London","","","","Not applicable","Not applicable","","","E02006363","E01030512"
20166,"936","Surrey","","Bagshot Infant School & Sure Start Children's Centre","Children's centre","Children's Centres","Open","","19-02-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","29-11-2019","School Lane","","","Bagshot","Surrey","GU19 5BP","www.bagshotchildrenscentre.co.uk","01276-473093","","Caroline","Atkins","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Surrey Heath","Bagshot","Surrey Heath","(England/Wales) Rural town and fringe","X999999",491029,162927,"","Surrey Heath 002","Surrey Heath 002D","","","","","","South-East England and South London","","10002673592","","Not applicable","Not applicable","","","E02006417","E01030760"
20286,"936","Surrey","","Betchworth & Buckland Sure Start Children's Centre","Children's centre linked site","Children's Centres","Open","","","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","07-01-2016","The Acorns Infant School","The Street","","Betchworth","Surrey","RH3 7DJ","","01737-223621","","","","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Mole Valley","Brockham, Betchworth and Buckland","Mole Valley","(England/Wales) Rural village","X999999",521025,150185,"","Mole Valley 008","Mole Valley 008D","","","","","","South-East England and South London","","100061420015","","Not applicable","Not applicable","","","E02006369","E01030527"
20380,"936","Surrey","","Boxgrove Sure Start Children's Centre","Children's centre","Children's Centres","Open","","13-03-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","07-03-2016","Boxgrove Primary School","Boxgrove Lane","","Guildford","Surrey","GU1 2TD","www.boxgrovechildrenscentre.co.uk","01483--540818","","Liz","Drain","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Guildford","Christchurch","Guildford","(England/Wales) Urban city and town","X999999",501677,150669,"","Guildford 011","Guildford 011B","","","","","","South-East England and South London","","","","Not applicable","Not applicable","","","E02006354","E01030437"
20439,"936","Surrey","","The Orchard Sure Start Children's Centre","Children's centre","Children's Centres","Open","","08-02-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","09-12-2019","The Orchard Campus","South Camberley Primary & Nursery School","James Road","Camberley","Surrey","GU15 2RG","www.bristow.childrencentre.org","01276-691018","","Sharon","Creak","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Surrey Heath","Watchetts","Surrey Heath","(England/Wales) Urban city and town","X999999",486882,158758,"","Surrey Heath 008","Surrey Heath 008F","","","","","","South-East England and South London","","100062328235","","Not applicable","Not applicable","","","E02006423","E01030805"
20473,"936","Surrey","","Brookwood & Pirbright Sure Start Children's Centre","Children's centre","Children's Centres","Open","","31-01-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","27-03-2018","Brookwood Primary School","Connaught Road","Brookwood","Woking","Surrey","GU24 0HF","www.brookwood.surrey.sch.uk","01483-473315","","Juliea","Morris","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Woking","Heathlands","Woking","(England/Wales) Urban city and town","X999999",495363,157072,"","Woking 012","Woking 012B","","","","","","South-East England and South London","","10002417667","","Not applicable","Not applicable","","","E02006467","E01030945"
20489,"936","Surrey","","Buckland Sure Start Children's Centre","Children's centre","Children's Centres","Open","","14-02-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","26-02-2016","Buckland Primary School","Berryscroft Road","","Staines","Surrey","TW18 1NB","www.bucklandchildrenscentre.com","01784-227977","","Christine","Lancaster","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Spelthorne","Staines South","Spelthorne","(England/Wales) Urban major conurbation","X999999",505386,170343,"","Spelthorne 007","Spelthorne 007B","","","","","","South-East England and South London","","33037057","","Not applicable","Not applicable","","","E02006409","E01030739"
20503,"936","Surrey","","Burhill Sure Start Children's Centre","Children's centre","Children's Centres","Open","","21-01-2008","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","27-03-2018","Burhill Community Primary School","New Berry Lane","Hersham","Walton on Thames","Surrey","KT12 4HQ","www.burhill.surrey.sch.uk/homedir/childrenscentre.htm","01932-225836","","Sally","Ruby","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Elmbridge","Hersham Village","Esher and Walton","(England/Wales) Urban major conurbation","X999999",511734,163988,"","Elmbridge 014","Elmbridge 014E","","","","","","South-East England and South London","","100062359517","","Not applicable","Not applicable","","","E02006330","E01030317"
20672,"936","Surrey","","Chertsey Sure Start Children's Centre","Children's centre","Children's Centres","Open","","13-03-2007","","","Not applicable","","","","Not applicable","Not applicable","","","","Not applicable","","","Not applicable","","","","","","Not applicable","","Not applicable","","Not applicable","","","","","","29-11-2019","Chertsey Nursery School","Pyrcroft Road","","Chertsey","Surrey","KT16 9ER","www.chertsey.surrey.sch.uk","01932-568758","","Vicky","Wilson","","Not applicable","","","","Not applicable","","","Not applicable","Not applicable","","","","Not applicable","","","","","","","","","","","","","","","","","","","South East","Runnymede","Chertsey St Ann's","Runnymede and Weybridge","(England/Wales) Urban major conurbation","X999999",503482,166757,"","Runnymede 004","Runnymede 004A","","","","","","South-East England and South London","","100062364343","","Not applicable","Not applicable","","","E02006396","E01030656"
