intake_year,school_name,la_code,estab_code,dfe_no,criterion,criterion_category,criterion_description,priority,criterion_offers
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Exceptional,Priority,Exceptional social/medical need,2,0
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Siblings,Family Ties,"Siblings of children who will be on roll at the school or children who, at the time of admission to the school, have a sibling who has attended the school and is or will be on the roll at Waverley Abbey Junior School or South Farnham School",3,19
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Resident in Parish,Defined Residence,"Children living within the boundaries of the ecclesiastical Parish of Tilford, the hamlets of Rushmoor and Pitch Place",4,5
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Practising Christian worship,Religion,Children and parent(s) who are regular worshippers at a Christian church,5,2
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Children of staff,Family Ties,Children of permanent members of staff where the member of staff has been employed at the school for two or more years at the time at which the application for admission to the school is made; and/or the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage,6,0
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Catchment,Defined Residence,"Children living within the designated parts of Seale and the Sands, south of the A31",7,2
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Others by Distance,Distance,Any other child whose parents want them to attend this Church of England school,8,2
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,9,0
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,EHCP,Priority,"Children with an Education, Health and Care Plan",10,0
2021,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Lates,Central & Lates,Places offered to children of applicants who had applied late,11,0
2021,Badshot Lea Village Infant School,936,2415,936/2415,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2021,Badshot Lea Village Infant School,936,2415,936/2415,Exceptional,Priority,Exceptional social/medical need,2,0
