"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (name)","EstablishmentTypeGroup (name)","EstablishmentStatus (name)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (name)","Gender (name)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (name)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (name)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","LastChangedDate","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","BSOInspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (name)","DistrictAdministrative (name)","AdministrativeWard (name)","ParliamentaryConstituency (name)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","MSOA (name)","LSOA (name)","InspectorateName (name)","SENStat","SENNoStat","PropsName","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","QABName (name)","EstablishmentAccredited (name)","QABReport","CHNumber","MSOA (code)","LSOA (code)","FSM","Linked establishments"
115850,"850","Hampshire","2000","Alton Infant School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",4,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",180,"No Special Classes","21-01-2021","138","78","60","21.7","Not applicable","","Not applicable","","Not under a federation","",10080446,"","Not applicable","23-01-2019","17-03-2022","Normandy Street","","","Alton","Hampshire","GU34 1DH","www.alton-inf.hants.sch.uk","0142083857","Mr","Richard","Mead","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","South East","East Hampshire","Alton Eastbrooke","East Hampshire","(England/Wales) Urban city and town","E10000014",472080,139716,"East Hampshire 002","East Hampshire 002A","","","","","Good","South-East England and South London","","1710026411","","Not applicable","Not applicable","","","E02004698","E01022574","30","Does not have links"
115851,"850","Hampshire","2001","Anstey Junior School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",256,"No Special Classes","21-01-2021","234","135","99","21.8","Not applicable","","Not applicable","","Not under a federation","",10070627,"","Not applicable","02-05-2019","23-03-2022","Eastbrooke Road","","","Alton","Hampshire","GU34 2DR","www.anstey-jun.hants.sch.uk/","0142084486","Mrs","Emma","Humphrey","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","Not applicable","","","","","South East","East Hampshire","Alton Eastbrooke","East Hampshire","(England/Wales) Urban city and town","E10000014",472015,139980,"East Hampshire 002","East Hampshire 002A","","","","","Good","South-East England and South London","","1710027170","","Not applicable","Not applicable","","","E02004698","E01022574","51","Does not have links"
115852,"850","Hampshire","2002","Balksbury Junior School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",360,"No Special Classes","21-01-2021","349","166","183","14.6","Not applicable","","Not applicable","","Supported by a federation","The Federation of Balksbury Infant and Junior School",10070626,"","Not applicable","23-10-2019","21-03-2022","Floral Way","Salisbury Road","","Andover","Hampshire","SP10 3QP","www.balksburyfederation.co.uk","01264365642","Miss","Katy","Thompson","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","Andover Millway","North West Hampshire","(England/Wales) Urban city and town","E10000014",434902,144945,"Test Valley 005","Test Valley 005C","","","","","Good","South-East England and South London","","200000710168","","Not applicable","Not applicable","","","E02004818","E01023186","51","Does not have links"
115853,"850","Hampshire","2003","Portway Junior School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",416,"No Special Classes","21-01-2021","412","212","200","14.1","Not applicable","","Not applicable","","Not under a federation","",10070625,"","Not applicable","12-02-2019","03-07-2021","Upper Drove","","","Andover","Hampshire","SP10 3NA","http://www.portwayjunior.co.uk","01264352060","Mr","Tim","Deery","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","Andover Harroway","North West Hampshire","(England/Wales) Urban city and town","E10000014",434437,145858,"Test Valley 005","Test Valley 005B","","","","","Good","South-East England and South London","","100062539822","","Not applicable","Not applicable","","","E02004818","E01023180","58","Does not have links"
115854,"850","Hampshire","2004","Anton Junior School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",256,"No Special Classes","21-01-2021","252","134","118","9.5","Not applicable","","Not applicable","","Not under a federation","",10052469,"","Not applicable","07-03-2014","22-03-2022","Barlows Lane","","","Andover","Hampshire","SP10 2HA","www.antonjuniorschool.com","01264352845","Mrs","Nicola","Bennett","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","Andover Winton","North West Hampshire","(England/Wales) Urban city and town","E10000014",436142,144681,"Test Valley 006","Test Valley 006E","","","","","Outstanding","South-East England and South London","","100062539489","","Not applicable","Not applicable","","","E02004819","E01023218","24","Does not have links"
115855,"850","Hampshire","2005","Ashley Infant School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",180,"Has Special Classes","21-01-2021","196","87","109","33.7","Not applicable","","Not applicable","","Not under a federation","",10080445,"","Not applicable","26-03-2019","15-03-2022","Lower Ashley Road","Ashley","","New Milton","Hampshire","BH25 5AA","http://www.ashley-inf.hants.sch.uk/","01425611321","Mrs","Sarah","Dibben","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","SLCN - Speech, language and Communication","ASD - Autistic Spectrum Disorder","SEMH - Social, Emotional and Mental Health","MLD - Moderate Learning Difficulty","SLD - Severe Learning Difficulty","","","","","","","","","Resourced provision",24,24,"","","South East","New Forest","Becton","New Forest West","(England/Wales) Urban city and town","E10000014",425776,95366,"New Forest 021","New Forest 021B","","","","","Good","South-East England and South London","","100062214485","","Not applicable","Not applicable","","","E02004799","E01022988","66","Does not have links"
115856,"850","Hampshire","2006","Awbridge Primary School","Community school","Local authority maintained schools","Closed","Not applicable","","Academy Converter","30-11-2020","Primary",4,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",176,"No Special Classes","16-01-2020","159","86","73","14.5","Not applicable","","Not applicable","","Not under a federation","",10080655,"","Not applicable","19-01-2017","30-11-2020","Danes Road","Awbridge","","Romsey","Hampshire","SO51 0HL","","","Mrs","Jayne","Fahey","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","Blackwater","Romsey and Southampton North","(England/Wales) Rural village","E10000014",431997,124157,"Test Valley 013","Test Valley 013A","","","","","Good","South-East England and South London","","100062536683","","Not applicable","Not applicable","","","E02004826","E01023162","23","148213 Successor"
115857,"850","Hampshire","2007","Portway Infant School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",270,"No Special Classes","21-01-2021","268","148","120","11.6","Not applicable","","Not applicable","","Not under a federation","",10075403,"","Not applicable","04-07-2012","17-03-2022","Ashfield Road","","","Andover","Hampshire","SP10 3PE","www.portwayinfant.co.uk/","01264323716","Miss","Sara","Allen","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Test Valley","Andover Harroway","North West Hampshire","(England/Wales) Urban city and town","E10000014",434437,145858,"Test Valley 005","Test Valley 005B","","","","","Outstanding","South-East England and South London","","100062540090","","Not applicable","Not applicable","","","E02004818","E01023180","31","Does not have links"
115858,"850","Hampshire","2008","Winklebury Junior School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",240,"Has Special Classes","21-01-2021","214","109","105","27.6","Not applicable","","Not applicable","","Supported by a federation","Federation of Winklebury Infant and Junior Schools",10070624,"","Not applicable","14-03-2017","09-02-2022","Willoughby Way","Off Winklebury Way","","Basingstoke","Hampshire","RG23 8AF","www.winkleburyfederation.co.uk","01256323244","Mrs","Sarah","Mathlin","Head of Federation","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Winklebury & Manydown","Basingstoke","(England/Wales) Urban city and town","E10000014",461795,152786,"Basingstoke and Deane 010","Basingstoke and Deane 010C","","","","","Good","South-East England and South London","","100062460629","","Not applicable","Not applicable","","","E02004684","E01022567","59","Does not have links"
115859,"850","Hampshire","2012","Oakridge Infant School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",2,7,"No boarders","Has Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",340,"No Special Classes","21-01-2021","331","173","158","14.1","Not applicable","","Not applicable","","Supported by a federation","Oakridge Schools Federation",10075402,"","Not applicable","23-09-2021","15-02-2022","Oakridge Road","","","Basingstoke","Hampshire","RG21 5RR","www.oakridgeschoolsfederation.co.uk","01256321579","Miss","Diane","Charman","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Basingstoke and Deane","Norden","Basingstoke","(England/Wales) Urban city and town","E10000014",463124,153320,"Basingstoke and Deane 009","Basingstoke and Deane 009B","","","","","Good","South-East England and South London","","100062459284","","Not applicable","Not applicable","","","E02004683","E01022525","36","Does not have links"
115860,"850","Hampshire","2013","South View Junior School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",256,"Has Special Classes","21-01-2021","240","118","122","37.1","Not applicable","","Not applicable","","Supported by a federation","South View Federation",10077094,"","Not applicable","21-03-2017","03-03-2022","Shooters Way","","","Basingstoke","Hampshire","RG21 5LL","http://www.southview-fed.hants.sch.uk","01256321928","Mrs","Sheila","Pape","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","SLCN - Speech, language and Communication","MLD - Moderate Learning Difficulty","","","","","","","","","","","","Resourced provision",16,16,"","","South East","Basingstoke and Deane","Norden","Basingstoke","(England/Wales) Urban city and town","E10000014",464106,153251,"Basingstoke and Deane 009","Basingstoke and Deane 009A","","","","","Good","South-East England and South London","","100062459425","","Not applicable","Not applicable","","","E02004683","E01022524","89","Does not have links"
115861,"850","Hampshire","2014","Beaulieu Village Primary School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",5,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",105,"No Special Classes","21-01-2021","120","62","58","8.3","Not applicable","","Not applicable","","Not under a federation","",10069582,"","Not applicable","20-05-2021","14-04-2022","High Street","Beaulieu","","Brockenhurst","Hampshire","SO42 7YD","http://www.beaulieuschool.org.uk","01590612255","Mrs","Katherine","Jones","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","New Forest","Brockenhurst and Forest South East","New Forest East","(England/Wales) Rural village","E10000014",438721,102194,"New Forest 017","New Forest 017B","","","","","Good","South-East England and South London","","100062532122","","Not applicable","Not applicable","","","E02004795","E01022999","10","Does not have links"
115862,"850","Hampshire","2018","Stoke Park Infant School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",270,"Has Special Classes","21-01-2021","267","145","122","18.7","Not applicable","","Not applicable","","Not under a federation","",10080444,"","Not applicable","09-05-2018","22-09-2021","Abbotsbury Road","Bishopstoke","","Eastleigh","Hampshire","SO50 8NZ","www.stokeparkinfantschool.co.uk","02380601773","Mrs","Emma-Jane","Charles","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","SLCN - Speech, language and Communication","","","","","","","","","","","","","Resourced provision",6,7,"","","South East","Eastleigh","Bishopstoke","Eastleigh","(England/Wales) Urban city and town","E10000014",447521,118935,"Eastleigh 005","Eastleigh 005A","","","","","Good","South-East England and South London","","100062535892","","Not applicable","Not applicable","","","E02004716","E01022643","50","Does not have links"
115863,"850","Hampshire","2019","Bishops Waltham Infant School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",5,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",210,"No Special Classes","21-01-2021","219","114","105","6.8","Not applicable","","Not applicable","","Not under a federation","",10075401,"","Not applicable","08-07-2011","04-03-2022","Oak Road","Bishops Waltham","","Southampton","Hampshire","SO32 1EP","www.bwis.org.uk","01489892375","Mrs","G","Riches","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","Winchester","Bishop's Waltham","Meon Valley","(England/Wales) Rural town and fringe","E10000014",455887,117678,"Winchester 012","Winchester 012D","","","","","Outstanding","South-East England and South London","","100062526137","","Not applicable","Not applicable","","","E02004840","E01023223","15","Does not have links"
115864,"850","Hampshire","2021","Bordon Junior School","Community school","Local authority maintained schools","Closed","Not applicable","","Academy Converter","31-08-2018","Primary",7,11,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",240,"No Special Classes","18-01-2018","252","113","139","11.1","Not applicable","","Not applicable","","Not under a federation","","","","Not applicable","08-03-2017","29-11-2019","Budds Lane","","","Bordon","Hampshire","GU35 0JB","","","Mr","Chris","James","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Whitehill Chase","East Hampshire","(England/Wales) Urban city and town","E10000014",479512,135851,"East Hampshire 004","East Hampshire 004C","","","","","Requires improvement","South-East England and South London","","10090974428","","Not applicable","Not applicable","","","E02004700","E01022639","28","146002 Successor"
115865,"850","Hampshire","2022","Bordon Infant School","Community school","Local authority maintained schools","Open","Not applicable","","Not applicable","","Primary",4,7,"No boarders","No Nursery Classes","Does not have a sixth form","Mixed","Does not apply","Does not apply","Not applicable","Not applicable",180,"No Special Classes","21-01-2021","175","91","84","18.3","Not applicable","","Not applicable","","Not under a federation","",10075400,"","Not applicable","03-05-2017","11-02-2022","Budds Lane","","","Bordon","Hampshire","GU35 0JB","www.bordoninfantschool.co.uk","01420472358","Mr","Matthew","Greenhalgh","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","South East","East Hampshire","Whitehill Chase","East Hampshire","(England/Wales) Urban city and town","E10000014",479462,135797,"East Hampshire 004","East Hampshire 004C","","","","","Good","South-East England and South London","","100062347128","","Not applicable","Not applicable","","","E02004700","E01022639","32","Does not have links"
