intake_year,school_name,la_code,estab_code,dfe_no,criterion,criterion_category,criterion_description,priority,criterion_offers
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Exceptional,Priority,Exceptional social/medical need,2,0
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Siblings,Family Ties,"Siblings of children who will be on roll at the school or children who, at the time of admission to the school, have a sibling who has attended the school and is or will be on the roll at Waverley Abbey Junior School or South Farnham School",3,11
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Resident in Parish,Defined Residence,"Children living within the boundaries of the ecclesiastical Parish of Tilford, the hamlets of Rushmoor and Pitch Place",4,0
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Practising Christian worship,Religion,Children and parent(s) who are regular worshippers at a Christian church,5,6
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Children of staff,Family Ties,Children of permanent members of staff where the member of staff has been employed at the school for two or more years at the time at which the application for admission to the school is made; and/or the member of staff is recruited to fill a vacant post for which there is a demonstrable skill shortage,6,0
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Catchment,Defined Residence,"Children living within the designated parts of Seale and the Sands, south of the A31",7,3
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Others by Distance,Distance,Any other child whose parents want them to attend this Church of England school,8,10
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,9,0
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,EHCP,Priority,"Children with an Education, Health and Care Plan",10,0
2018,All Saints Church of England (Aided) Infant School,936,3407,936/3407,Lates,Central & Lates,Places offered to children of applicants who had applied late,11,0
2018,Badshot Lea Village Infant School,936,2415,936/2415,LAC & PLAC,Priority,Looked after and previously looked after children,1,1
2018,Badshot Lea Village Infant School,936,2415,936/2415,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Badshot Lea Village Infant School,936,2415,936/2415,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,3
2018,Badshot Lea Village Infant School,936,2415,936/2415,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,11
2018,Badshot Lea Village Infant School,936,2415,936/2415,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,26
2018,Badshot Lea Village Infant School,936,2415,936/2415,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Badshot Lea Village Infant School,936,2415,936/2415,EHCP,Priority,"Children with an Education, Health and Care Plan",7,2
2018,Badshot Lea Village Infant School,936,2415,936/2415,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Beacon Hill Primary School,936,2136,936/2136,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Beacon Hill Primary School,936,2136,936/2136,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Beacon Hill Primary School,936,2136,936/2136,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,16
2018,Beacon Hill Primary School,936,2136,936/2136,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,14
2018,Beacon Hill Primary School,936,2136,936/2136,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,0
2018,Beacon Hill Primary School,936,2136,936/2136,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Beacon Hill Primary School,936,2136,936/2136,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Beacon Hill Primary School,936,2136,936/2136,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,7
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Resident in Parish,Defined Residence,Children of families living within the Ecclesiastical Parishes of Bramley and Grafham,4,15
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Practising worship in Parish,Religion,Children of families who can show membership of a Church of England Church within the Ecclesiastical Parishes of Bramley and Grafham,5,0
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Practising worship outside Parish,Religion,"Children of families living outside the Ecclesiastical Parishes of Bramley and Grafham, who can show membership of a Parish Church",6,0
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",7,0
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,8,0
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,EHCP,Priority,"Children with an Education, Health and Care Plan",9,0
2018,Bramley Church of England (Aided) Infant School,936,3925,936/3925,Lates,Central & Lates,Places offered to children of applicants who had applied late,10,1
2018,Busbridge Infant School,936,2917,936/2917,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Busbridge Infant School,936,2917,936/2917,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Busbridge Infant School,936,2917,936/2917,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,0
2018,Busbridge Infant School,936,2917,936/2917,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,31
2018,Busbridge Infant School,936,2917,936/2917,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,28
2018,Busbridge Infant School,936,2917,936/2917,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Busbridge Infant School,936,2917,936/2917,EHCP,Priority,"Children with an Education, Health and Care Plan",7,1
2018,Busbridge Infant School,936,2917,936/2917,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Cranleigh Church of England Primary School,936,3944,936/3944,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Cranleigh Church of England Primary School,936,3944,936/3944,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Cranleigh Church of England Primary School,936,3944,936/3944,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,12
2018,Cranleigh Church of England Primary School,936,3944,936/3944,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,10
2018,Cranleigh Church of England Primary School,936,3944,936/3944,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,8
2018,Cranleigh Church of England Primary School,936,3944,936/3944,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Cranleigh Church of England Primary School,936,3944,936/3944,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Cranleigh Church of England Primary School,936,3944,936/3944,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Exceptional,Priority,Exceptional social/medical need,2,1
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,3
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Siblings of Former Pupils,Family Ties,Siblings of former pupils who have left the school in the three years prior to application,4,4
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Resident in Parish,Defined Residence,Children who live in the Ecclesiastical Parish of Ewhurst with Okewood and Forest Green,5,8
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Baptised CofE,Religion,Children who have been baptised into the Church of England,6,1
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Baptised Other Christian,Religion,Baptised children of other Christian denominations,7,3
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Practising worship,Religion,Children whose parents are of the Christian faith and attend their local church regularly (monthly) for at least two years,8,0
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Others by Distance,Distance,Children living outside the area specified in criterion 5 whose parents wish their child to attend this Church of England school,9,3
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,10,0
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,EHCP,Priority,"Children with an Education, Health and Care Plan",11,0
2018,Ewhurst Church of England (Aided) Infant School,936,3344,936/3344,Lates,Central & Lates,Places offered to children of applicants who had applied late,12,0
2018,Farncombe Church of England Infant School,936,3026,936/3026,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Farncombe Church of England Infant School,936,3026,936/3026,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Farncombe Church of England Infant School,936,3026,936/3026,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,11
2018,Farncombe Church of England Infant School,936,3026,936/3026,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,39
2018,Farncombe Church of England Infant School,936,3026,936/3026,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,0
2018,Farncombe Church of England Infant School,936,3026,936/3026,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Farncombe Church of England Infant School,936,3026,936/3026,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Farncombe Church of England Infant School,936,3026,936/3026,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Folly Hill Infant School,936,2408,936/2408,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Folly Hill Infant School,936,2408,936/2408,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Folly Hill Infant School,936,2408,936/2408,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,6
2018,Folly Hill Infant School,936,2408,936/2408,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,11
2018,Folly Hill Infant School,936,2408,936/2408,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,13
2018,Folly Hill Infant School,936,2408,936/2408,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Folly Hill Infant School,936,2408,936/2408,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Folly Hill Infant School,936,2408,936/2408,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Exceptional,Priority,Children with serious medical conditions or sensitive family circumstances,2,0
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,14
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Resident in Parish,Defined Residence,"Children who live within the ecclesiastical parish boundary of All Saints, Grayswood",4,6
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Practising worship in Parish,Religion,"Children who live outside the ecclesiastical parish boundary of All Saints, Grayswood and whose parents worship at All Saints Church, Grayswood",5,0
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Practising Anglican worship outside Parish,Religion,"Children who live outside the ecclesiastical parish boundary of All Saints, Grayswood and whose parents worship at another Anglican Church",6,0
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Practising Christian worship outside Parish,Religion,"Children who live outside the ecclesiastical parish boundary of All Saints, Grayswood and whose parents worship at another Christian church",7,1
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Others by Distance,Distance,Any other child whose parents wish them to attend Grayswood Church of England (Aided) Primary School,8,8
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,9,0
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,EHCP,Priority,"Children with an Education, Health and Care Plan",10,0
2018,Grayswood Church of England (Aided) Primary School,936,3927,936/3927,Lates,Central & Lates,Places offered to children of applicants who had applied late,11,0
2018,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,LAC & PLAC,Priority,Looked after and previously looked after children,1,1
2018,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,6
2018,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,Resident in Parish,Defined Residence,Children of families living in the Parish of Godalming,4,1
2018,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,1
2018,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Green Oak Church of England Primary & Nursery School,936,3349,936/3349,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Hale School,936,2957,936/2957,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Hale School,936,2957,936/2957,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Hale School,936,2957,936/2957,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,15
2018,Hale School,936,2957,936/2957,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,9
2018,Hale School,936,2957,936/2957,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,1
2018,Hale School,936,2957,936/2957,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,2
2018,Hale School,936,2957,936/2957,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Hale School,936,2957,936/2957,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,1
2018,Highfield South Farnham Primary School,936,2033,936/2033,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Highfield South Farnham Primary School,936,2033,936/2033,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Highfield South Farnham Primary School,936,2033,936/2033,Children of staff,Family Ties,"Children of staff, priority will be given to children of members of the senior leadership team who have been employed at the school for two or more years and for new staff employed to a difficult to recruit position",3,1
2018,Highfield South Farnham Primary School,936,2033,936/2033,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",4,16
2018,Highfield South Farnham Primary School,936,2033,936/2033,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,27
2018,Highfield South Farnham Primary School,936,2033,936/2033,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Highfield South Farnham Primary School,936,2033,936/2033,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Highfield South Farnham Primary School,936,2033,936/2033,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,1
2018,Loseley Fields Primary School,936,3939,936/3939,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Loseley Fields Primary School,936,3939,936/3939,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Loseley Fields Primary School,936,3939,936/3939,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,17
2018,Loseley Fields Primary School,936,3939,936/3939,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,13
2018,Loseley Fields Primary School,936,3939,936/3939,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,0
2018,Loseley Fields Primary School,936,3939,936/3939,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Loseley Fields Primary School,936,3939,936/3939,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Loseley Fields Primary School,936,3939,936/3939,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Milford School,936,2315,936/2315,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Milford School,936,2315,936/2315,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Milford School,936,2315,936/2315,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,11
2018,Milford School,936,2315,936/2315,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,37
2018,Milford School,936,2315,936/2315,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,12
2018,Milford School,936,2315,936/2315,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Milford School,936,2315,936/2315,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Milford School,936,2315,936/2315,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Moss Lane School,936,2409,936/2409,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Moss Lane School,936,2409,936/2409,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Moss Lane School,936,2409,936/2409,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,9
2018,Moss Lane School,936,2409,936/2409,Nearest School,Defined Residence,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,31
2018,Moss Lane School,936,2409,936/2409,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,20
2018,Moss Lane School,936,2409,936/2409,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,6,0
2018,Moss Lane School,936,2409,936/2409,EHCP,Priority,"Children with an Education, Health and Care Plan",7,0
2018,Moss Lane School,936,2409,936/2409,Lates,Central & Lates,Places offered to children of applicants who had applied late,8,0
2018,Park Mead Primary School,936,5211,936/5211,LAC & PLAC,Priority,Looked after and previously looked after children,1,0
2018,Park Mead Primary School,936,5211,936/5211,Exceptional,Priority,Exceptional social/medical need,2,1
2018,Park Mead Primary School,936,5211,936/5211,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,19
2018,Park Mead Primary School,936,5211,936/5211,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",4,40
2018,Park Mead Primary School,936,5211,936/5211,Centrally offered,Central & Lates,Children offered a place but for whom this school was not one of their preferred schools,5,0
2018,Park Mead Primary School,936,5211,936/5211,EHCP,Priority,"Children with an Education, Health and Care Plan",6,0
2018,Park Mead Primary School,936,5211,936/5211,Lates,Central & Lates,Places offered to children of applicants who had applied late,7,0
2018,Potters Gate Church of England Primary School,936,3062,936/3062,LAC & PLAC,Priority,Looked after and previously looked after children,1,1
2018,Potters Gate Church of England Primary School,936,3062,936/3062,Exceptional,Priority,Exceptional social/medical need,2,0
2018,Potters Gate Church of England Primary School,936,3062,936/3062,Siblings,Family Ties,"Children who will have a sibling at the school or at an infant/junior school which operates shared sibling priority, at the time of the child’s admission",3,26
2018,Potters Gate Church of England Primary School,936,3062,936/3062,Nearest School,Family Ties,Children for whom the school is the nearest to their home address as measured by straight line - the nearest school will be the school closest to the home address that has a Published Admission Number to admit pupils of the appropriate age range and which admits local children. The nearest school may be either inside or outside the county boundary.,4,7
2018,Potters Gate Church of England Primary School,936,3062,936/3062,Others by Distance,Distance,"Any other children, prioritised according to the distance they live from the school",5,22
