year_key,academic_year_start,academic_year_end,academic_year_full,academic_year_short,covid_indicator
2000,2000,2001,2000-2001,00-01,Pre-Pandemic
2001,2001,2002,2001-2002,01-02,Pre-Pandemic
2002,2002,2003,2002-2003,02-03,Pre-Pandemic
2003,2003,2004,2003-2004,03-04,Pre-Pandemic
2004,2004,2005,2004-2005,04-05,Pre-Pandemic
2005,2005,2006,2005-2006,05-06,Pre-Pandemic
2006,2006,2007,2006-2007,06-07,Pre-Pandemic
2007,2007,2008,2007-2008,07-08,Pre-Pandemic
2008,2008,2009,2008-2009,08-09,Pre-Pandemic
2009,2009,2010,2009-2010,09-10,Pre-Pandemic
2010,2010,2011,2010-2011,10-11,Pre-Pandemic
2011,2011,2012,2011-2012,11-12,Pre-Pandemic
2012,2012,2013,2012-2013,12-13,Pre-Pandemic
2013,2013,2014,2013-2014,13-14,Pre-Pandemic
2014,2014,2015,2014-2015,14-15,Pre-Pandemic
2015,2015,2016,2015-2016,15-16,Pre-Pandemic
2016,2016,2017,2016-2017,16-17,Pre-Pandemic
2017,2017,2018,2017-2018,17-18,Pre-Pandemic
2018,2018,2019,2018-2019,18-19,Pre-Pandemic
2019,2019,2020,2019-2020,19-20,Pandemic
2020,2020,2021,2020-2021,20-21,Pandemic
2021,2021,2022,2021-2022,21-22,Post-Pandemic
2022,2022,2023,2022-2023,22-23,Post-Pandemic
2023,2023,2024,2023-2024,23-24,Post-Pandemic
2024,2024,2025,2024-2025,24-25,Post-Pandemic
2025,2025,2026,2025-2026,25-26,Post-Pandemic
2026,2026,2027,2026-2027,26-27,Post-Pandemic
2027,2027,2028,2027-2028,27-28,Post-Pandemic
2028,2028,2029,2028-2029,28-29,Post-Pandemic
2029,2029,2030,2029-2030,29-30,Post-Pandemic
2030,2030,2031,2030-2031,30-31,Post-Pandemic
2031,2031,2032,2031-2032,31-32,Post-Pandemic
2032,2032,2033,2032-2033,32-33,Post-Pandemic
2033,2033,2034,2033-2034,33-34,Post-Pandemic
2034,2034,2035,2034-2035,34-35,Post-Pandemic
2035,2035,2036,2035-2036,35-36,Post-Pandemic
2036,2036,2037,2036-2037,36-37,Post-Pandemic
2037,2037,2038,2037-2038,37-38,Post-Pandemic
2038,2038,2039,2038-2039,38-39,Post-Pandemic
2039,2039,2040,2039-2040,39-40,Post-Pandemic
2040,2040,2041,2040-2041,40-41,Post-Pandemic
2041,2041,2042,2041-2042,41-42,Post-Pandemic
2042,2042,2043,2042-2043,42-43,Post-Pandemic
2043,2043,2044,2043-2044,43-44,Post-Pandemic
2044,2044,2045,2044-2045,44-45,Post-Pandemic
