school_key,urn,establishment_number,dfe_number,school_name,school_type,school_status,religious_character,statutory_low_age,statutory_high_age,percentage_fsm,administrative_district,school_capacity,census_date,number_of_pupils,number_of_boys,number_of_girls,number_of_fsm,ofsted_rating_name,ofsted_last_insp,street,locality,address3,town,county,postcode,school_website,telephone_num,head_title,head_first_name,head_last_name,head_preferred_job_title,ofsted_rating_score
1,115850,2000,850/2000,Alton Infant School,Local authority maintained schools,Open,Does not apply,4,7,21.7,East Hampshire,180,21-01-2021,138,78,60,30,Good,23-01-2019,Normandy Street,,,Alton,Hampshire,GU34 1DH,www.alton-inf.hants.sch.uk,0142083857,Mr,Richard,Mead,Headteacher,2
2,115851,2001,850/2001,Anstey Junior School,Local authority maintained schools,Open,Does not apply,7,11,21.8,East Hampshire,256,21-01-2021,234,135,99,51,Good,02-05-2019,Eastbrooke Road,,,Alton,Hampshire,GU34 2DR,www.anstey-jun.hants.sch.uk/,0142084486,Mrs,Emma,Humphrey,Headteacher,2
3,115852,2002,850/2002,Balksbury Junior School,Local authority maintained schools,Open,Does not apply,7,11,14.6,Test Valley,360,21-01-2021,349,166,183,51,Good,23-10-2019,Floral Way,Salisbury Road,,Andover,Hampshire,SP10 3QP,www.balksburyfederation.co.uk,01264365642,Miss,Katy,Thompson,Headteacher,2
4,115853,2003,850/2003,Portway Junior School,Local authority maintained schools,Open,Does not apply,7,11,14.1,Test Valley,416,21-01-2021,412,212,200,58,Good,12-02-2019,Upper Drove,,,Andover,Hampshire,SP10 3NA,http://www.portwayjunior.co.uk,01264352060,Mr,Tim,Deery,Headteacher,2
5,115854,2004,850/2004,Anton Junior School,Local authority maintained schools,Open,Does not apply,7,11,9.5,Test Valley,256,21-01-2021,252,134,118,24,Outstanding,07-03-2014,Barlows Lane,,,Andover,Hampshire,SP10 2HA,www.antonjuniorschool.com,01264352845,Mrs,Nicola,Bennett,Headteacher,1
6,115855,2005,850/2005,Ashley Infant School,Local authority maintained schools,Open,Does not apply,5,7,33.7,New Forest,180,21-01-2021,196,87,109,66,Good,26-03-2019,Lower Ashley Road,Ashley,,New Milton,Hampshire,BH25 5AA,http://www.ashley-inf.hants.sch.uk/,01425611321,Mrs,Sarah,Dibben,Headteacher,2
8,148213,2006,850/2006,Awbridge Primary School,Academies,Open,Does not apply,4,11,11.9,Test Valley,176,21-01-2021,177,95,82,21,Not reported,,Danes Road,Awbridge,,Romsey,Hampshire,SO51 0HL,www.awbridge.hants.sch.uk,01794340407,Mrs,Jayne,Fahey,Headteacher,
9,115857,2007,850/2007,Portway Infant School,Local authority maintained schools,Open,Does not apply,5,7,11.6,Test Valley,270,21-01-2021,268,148,120,31,Outstanding,04-07-2012,Ashfield Road,,,Andover,Hampshire,SP10 3PE,www.portwayinfant.co.uk/,01264323716,Miss,Sara,Allen,Headteacher,1
10,115858,2008,850/2008,Winklebury Junior School,Local authority maintained schools,Open,Does not apply,7,11,27.6,Basingstoke and Deane,240,21-01-2021,214,109,105,59,Good,14-03-2017,Willoughby Way,Off Winklebury Way,,Basingstoke,Hampshire,RG23 8AF,www.winkleburyfederation.co.uk,01256323244,Mrs,Sarah,Mathlin,Head of Federation,2
11,131717,2009,850/2009,Knightwood Primary School,Local authority maintained schools,Open,Does not apply,4,11,3.4,Test Valley,420,21-01-2021,417,204,213,14,Outstanding,11-02-2015,Bell Flower Way,Knightwood Road,Chandler's Ford,Eastleigh,Hampshire,SO53 4HW,http://www.knightwood.hants.sch.uk/,02380261900,,Paul,Haydon,Headteacher,1
12,138139,2010,850/2010,Wellington Community Primary School,Local authority maintained schools,Open,Does not apply,5,11,21.8,Rushmoor,420,21-01-2021,413,206,207,90,Outstanding,29-11-2018,Alexandra Road,,,Aldershot,Hampshire,GU11 1QJ,http://www.wellingtonprimary.com,01252326573,Mrs,Catherine,Miller,Head Teacher,1
14,132212,2011,850/2011,Great Binfields Primary School,Local authority maintained schools,Open,Does not apply,4,11,10.1,Basingstoke and Deane,419,21-01-2021,417,209,208,42,Good,14-05-2019,Binfields Farm Lane,Chineham,,Basingstoke,Hampshire,RG24 8AJ,www.greatbinfields.co.uk,01256460532,Miss,Julie,Rogers,Headteacher,2
15,115859,2012,850/2012,Oakridge Infant School,Local authority maintained schools,Open,Does not apply,2,7,14.1,Basingstoke and Deane,340,21-01-2021,331,173,158,36,Good,23-09-2021,Oakridge Road,,,Basingstoke,Hampshire,RG21 5RR,www.oakridgeschoolsfederation.co.uk,01256321579,Miss,Diane,Charman,Headteacher,2
16,115860,2013,850/2013,South View Junior School,Local authority maintained schools,Open,Does not apply,7,11,37.1,Basingstoke and Deane,256,21-01-2021,240,118,122,89,Good,21-03-2017,Shooters Way,,,Basingstoke,Hampshire,RG21 5LL,http://www.southview-fed.hants.sch.uk,01256321928,Mrs,Sheila,Pape,Headteacher,2
17,115861,2014,850/2014,Beaulieu Village Primary School,Local authority maintained schools,Open,Does not apply,5,11,8.3,New Forest,105,21-01-2021,120,62,58,10,Good,20-05-2021,High Street,Beaulieu,,Brockenhurst,Hampshire,SO42 7YD,http://www.beaulieuschool.org.uk,01590612255,Mrs,Katherine,Jones,Headteacher,2
18,132801,2015,850/2015,Elvetham Heath Primary School,Local authority maintained schools,Open,Does not apply,4,11,7.4,Hart,642,21-01-2021,651,333,318,48,Outstanding,11-03-2010,The Key,Elvetham Heath,,Fleet,Hampshire,GU51 1DP,http://www.ehps.hants.sch.uk,01252622205,Mrs,Megan,Robinson,Headteacher,1
19,132802,2016,850/2016,Cherrywood Community Primary School,Local authority maintained schools,Open,Does not apply,5,11,43,Rushmoor,210,21-01-2021,172,91,81,74,Good,19-09-2019,Mayfield Road,,,Farnborough,Hampshire,GU14 8LH,www.cherrywoodprimary.co.uk/,01252547896,Mrs,Kirsty,Lewis,Headteacher,2
21,133292,2017,850/2017,Micheldever CofE Primary School,Local authority maintained schools,Open,Church of England,4,11,16.7,Winchester,105,21-01-2021,66,35,31,11,Good,09-05-2017,Church Street,Micheldever,,Winchester,Hampshire,SO21 3DB,http://www.micheldever.hants.sch.uk,01962774213,Mr,Thomas,Johnston,Executive Headteacher,2
22,115862,2018,850/2018,Stoke Park Infant School,Local authority maintained schools,Open,Does not apply,5,7,18.7,Eastleigh,270,21-01-2021,267,145,122,50,Good,09-05-2018,Abbotsbury Road,Bishopstoke,,Eastleigh,Hampshire,SO50 8NZ,www.stokeparkinfantschool.co.uk,02380601773,Mrs,Emma-Jane,Charles,Headteacher,2
23,115863,2019,850/2019,Bishops Waltham Infant School,Local authority maintained schools,Open,Does not apply,5,7,6.8,Winchester,210,21-01-2021,219,114,105,15,Outstanding,08-07-2011,Oak Road,Bishops Waltham,,Southampton,Hampshire,SO32 1EP,www.bwis.org.uk,01489892375,Mrs,G,Riches,Headteacher,1
24,133303,2020,850/2020,Sharps Copse Primary and Nursery School,Local authority maintained schools,Open,Does not apply,4,11,55,Havant,315,21-01-2021,311,151,160,171,Good,07-02-2017,Prospect Lane,,,Havant,Hampshire,PO9 5PE,www.sharpscopse.hants.sch.uk/,02392484545,Mr,Michael,Elsen,Acting Headteacher,2
27,146002,2021,850/2021,Bordon Junior School,Academies,Open,Does not apply,7,11,19.9,East Hampshire,240,21-01-2021,246,130,116,49,Not reported,,Budds Lane,,,Bordon,Hampshire,GU35 0JB,https://www.bordonjuniorschool.com,01420472145,Mr,Chris,James,Headteacher,
28,115865,2022,850/2022,Bordon Infant School,Local authority maintained schools,Open,Does not apply,4,7,18.3,East Hampshire,180,21-01-2021,175,91,84,32,Good,03-05-2017,Budds Lane,,,Bordon,Hampshire,GU35 0JB,www.bordoninfantschool.co.uk,01420472358,Mr,Matthew,Greenhalgh,Headteacher,2
29,115866,2023,850/2023,Braishfield Primary School,Local authority maintained schools,Open,Does not apply,4,11,8.3,Test Valley,105,21-01-2021,96,52,44,8,Good,21-11-2017,Common Hill Road,Braishfield,,Romsey,Hampshire,SO51 0QF,www.braishfield.hants.sch.uk/,01794368359,Mr,Jim,Cascarini,Headteacher,2
31,115867,2025,850/2025,Broughton Primary School,Local authority maintained schools,Open,Does not apply,4,11,5.8,Test Valley,103,21-01-2021,104,47,57,6,Good,03-10-2017,School Lane,Broughton,,Stockbridge,Hampshire,SO20 8AN,www.broughton.hants.sch.uk,01794301286,Mrs,Lucy,Macey,Headteacher,2
32,115868,2026,850/2026,Burghclere Primary School,Local authority maintained schools,Open,Does not apply,4,11,7.9,Basingstoke and Deane,119,21-01-2021,114,52,62,9,Good,18-07-2017,Church Lane,,,Newbury,Berkshire,RG20 9HT,www.burghclere.hants.sch.uk/,01635278523,Mrs,Beulah,Letchford,Headteacher,2
33,115869,2027,850/2027,Buriton Primary School,Local authority maintained schools,Open,Does not apply,4,11,14.4,East Hampshire,105,21-01-2021,104,53,51,15,Good,02-05-2018,High Street,Buriton,,Petersfield,Hampshire,GU31 5RX,www.buriton.hants.sch.uk,01730263526,Mrs,Danielle,Brown,Headteacher,2
34,115870,2028,850/2028,Burley Primary School,Local authority maintained schools,Open,Does not apply,4,11,18.5,New Forest,110,21-01-2021,92,52,40,17,Good,14-02-2017,Church Lane,Burley,,Ringwood,Hampshire,BH24 4AP,www.burley.hants.sch.uk/,01425403375,Mrs,Helen,Morris,Interim Executive Head Teacher,2
35,139273,2029,850/2029,Front Lawn Primary Academy,Academies,Open,Does not Apply,2,11,50.8,Havant,420,21-01-2021,426,229,197,193,Good,21-11-2018,Broadmere Avenue,Leigh Park,,Havant,Hampshire,PO9 5HX,www.flpa-tkat.org,02392475904,Mrs,Kate,Couldwell,Headteacher,2
37,115871,2030,850/2030,Stoke Park Junior School,Local authority maintained schools,Open,Does not apply,7,11,22.1,Eastleigh,360,21-01-2021,348,161,187,77,Good,09-05-2019,Underwood Road,Bishopstoke,,Eastleigh,Hampshire,SO50 6GR,www.stokeparkjunior.co.uk,02380612789,Mrs,Allison,Jenkins,Headteacher,2
38,139548,2031,850/2031,Cornerstone CofE (VA) Primary School,Local authority maintained schools,Open,Church of England,4,11,13,Winchester,630,21-01-2021,193,102,91,25,Good,30-04-2019,Bluebell Way,Whiteley,,Fareham,,PO15 7QE,http://cornerstoneprimary.hants.sch.uk/,01489660750,Mr,Tim,Clarke,,2
39,139920,2032,850/2032,The Holme Church of England Primary School,Academies,Open,Church of England,4,11,22.1,East Hampshire,210,21-01-2021,172,83,89,38,Good,20-09-2017,Openfields,,,Headley,Hampshire,GU35 8PQ,http://theholme.schooljotter2.com/,01428714409,Mrs,Sarah,Stevenson,,2
40,115872,2033,850/2033,Chandler's Ford Infant School,Local authority maintained schools,Open,Does not apply,5,7,4.8,Eastleigh,180,21-01-2021,168,95,73,8,Good,23-10-2019,Kings Road,Chandler's Ford,,Eastleigh,Hampshire,SO53 2EY,www.chandlersford-inf.hants.sch.uk/,02380252655,Mrs,Mary,Strong,Headteacher,2
41,115873,2034,850/2034,Merdon Junior School,Local authority maintained schools,Open,Does not apply,7,11,6.7,Eastleigh,256,21-01-2021,254,131,123,17,Good,16-07-2019,Merdon Avenue,Chandler's Ford,,Eastleigh,Hampshire,SO53 1EJ,www.merdon.hants.sch.uk,02380265255,Mrs,Claire,Martin,Headteacher,2
42,115874,2035,850/2035,Cheriton Primary School,Local authority maintained schools,Open,Does not apply,4,11,7.3,Winchester,105,21-01-2021,96,50,46,7,Outstanding,12-05-2008,Cheriton,,,Alresford,Hampshire,SO24 0QA,http://www.cheriton.hants.sch.uk,01962771278,Mr,Andrew,Goldsworthy,Headteacher,1
43,115875,2036,850/2036,North Baddesley Infant School,Local authority maintained schools,Open,Does not apply,2,7,10,Test Valley,294,21-01-2021,250,126,124,25,Good,05-07-2017,Botley Road,North Baddesley,,Southampton,Hampshire,SO52 9EE,www.northbaddesley-inf.co.uk,02380412412,Mrs,Carla,Lashmar,Headteacher,2
44,139944,2037,850/2037,Frogmore Junior School,Academies,Open,Does not apply,7,11,14.2,Hart,276,21-01-2021,212,95,117,30,Good,03-10-2018,Green Lane,Frogmore,,Camberley,Surrey,GU17 0NY,www.frogmorejuniors.co.uk,01252873054,Mrs,Claire-Louise,West,Headteacher,2
45,140211,2038,850/2038,Berewood Primary School,Academies,Open,Does not Apply,4,11,25.7,Winchester,420,21-01-2021,404,211,193,104,Good,12-07-2017,Kentidge Way,,,Waterlooville,Hampshire,PO7 3BE,www.berewoodprimary.co.uk,02394006070,Mr,Ricky,Leigh,Headteacher,2
46,140690,2039,850/2039,The Cambridge Primary School,Academies,Open,Does not Apply,4,11,12.9,Rushmoor,420,21-01-2021,171,86,85,22,Not reported,,The Cambridge Primary School,Queens Avenue,Wellesley,Aldershot,Hampshire,GU11 4AA,www.cambridgeschool.hants.sch.uk,01252314884,Mrs,Sarah,Kennedy,,
47,115876,2040,850/2040,Clanfield Junior School,Local authority maintained schools,Open,Does not apply,7,11,8.6,East Hampshire,360,21-01-2021,301,153,148,26,Good,26-05-2021,Little Hyden Lane,Clanfield,,Waterlooville,Hampshire,PO8 0RE,,02392593209,Miss,S,Staggs,Headteacher,2
48,115877,2041,850/2041,Cliddesden Primary School,Local authority maintained schools,Open,Does not apply,4,11,11.6,Basingstoke and Deane,119,21-01-2021,112,59,53,13,Good,25-11-2021,Cliddesden,,,Basingstoke,Hampshire,RG25 2QU,www.cliddesden.hants.sch.uk/,01256321571,Mr,Kenneth,Davies,Headteacher,2
49,138242,2042,850/2042,Manor Church of England Infant School,Local authority maintained schools,Open,Church of England,4,7,20.3,New Forest,90,21-01-2021,74,42,32,15,Good,06-03-2018,Teachers Way,Holbury,,Southampton,Hampshire,SO45 2QG,www.manorinfant.co.uk,02380897549,Mrs,Michelle,Hale,,2
50,144882,2045,850/2045,Sun Hill Junior School,Academies,Open,Does not apply,7,11,12.4,Winchester,264,21-01-2021,218,100,118,27,Good,04-11-2021,Sun Lane,,,Alresford,Hampshire,SO24 9NB,www.sunhilljs.net,01962732801,Mrs,Susan,Griffiths,,2
51,115878,2046,850/2046,Crondall Primary School,Local authority maintained schools,Open,Does not apply,5,11,10.8,Hart,210,21-01-2021,176,88,88,19,Good,17-10-2018,Croft Lane,Crondall,,Farnham,Hampshire,GU10 5QG,www.crondall.hants.sch.uk,01252850291,Mrs,Jo,Leatham,Headteacher,2
52,115879,2047,850/2047,Curdridge Primary School,Local authority maintained schools,Open,Does not apply,4,11,14.5,Winchester,119,21-01-2021,117,63,54,17,Good,28-06-2017,Church Lane,Curdridge,Near Botley,Southampton,Hampshire,SO32 2DR,http://www.curdridge.hants.sch.uk,01489782613,Mrs,Sally,Wood,Headteacher,2
53,147021,2048,850/2048,Oakfield Primary School,Academies,Open,Does not apply,4,11,25.9,New Forest,210,21-01-2021,170,80,90,44,Not reported,,Sylvia Crescent,Totton,,Southampton,Hampshire,SO40 3LN,www.oakfield.hants.sch.uk,02380862530,Headteacher,Haydn,Mitton,,
54,115880,2049,850/2049,Crofton Anne Dale Junior School,Local authority maintained schools,Open,Does not apply,7,11,10.6,Fareham,384,21-01-2021,386,165,221,41,Good,07-12-2018,Cuckoo Lane,Stubbington,,Fareham,Hampshire,PO14 3PH,http://www.croftonannedale-jun.hants.sch.uk,01329662087,Mrs,Lorraine,Phillips,Executive Headteacher,2
