la_key,year_key,nc_key,admission_numbers,applications_received,online_applications,no_of_preferences,first_preference_offers,second_preference_offers,third_preference_offers,preferred_school_offer,non_preferred_offer,no_offer,schools_in_la_offer,schools_in_another_la_offer
129,2021,1,30,28,28,6,25,1,0,28,0,0,10,18
130,2021,1,1628,1519,1518,6,1182,148,60,1434,77,8,1354,157
152,2021,1,3839,3268,3254,6,2905,217,63,3225,43,0,3039,229
131,2021,1,2912,2121,2081,6,1930,93,40,2083,38,0,1983,138
132,2021,1,1429,1253,1232,6,997,110,46,1200,47,6,1150,98
134,2021,1,2310,1964,1964,6,1541,171,70,1868,96,0,1736,228
135,2021,1,1052,737,726,6,491,86,46,659,78,0,707,30
136,2021,1,3330,2579,2555,6,2220,210,68,2550,29,0,2347,232
137,2021,1,3647,3296,3197,6,2864,220,84,3221,0,75,2915,306
139,2021,1,3659,2799,2770,6,2460,197,66,2766,33,0,2613,186
140,2021,1,3513,3237,3219,6,2859,170,57,3125,111,1,3135,101
141,2021,1,3164,2742,2623,6,2262,213,104,2669,73,0,2523,219
142,2021,1,1560,1125,1069,6,971,74,32,1095,30,0,980,145
144,2021,1,4245,3130,3111,6,2956,116,22,3104,0,26,2889,215
145,2021,1,4434,4047,4039,6,3355,308,116,3883,156,8,3691,348
146,2021,1,3371,2812,2716,6,2612,135,31,2792,20,0,2633,179
147,2021,1,4091,3444,3405,6,2871,316,92,3337,107,0,3006,438
148,2021,1,4219,3725,3683,6,3290,243,88,3682,43,0,3590,135
149,2021,1,5475,4472,4467,6,3817,389,110,4399,73,0,4078,394
150,2021,1,4440,3614,3535,6,3227,210,64,3557,55,2,3364,250
151,2021,1,4563,3760,3627,6,3334,245,77,3709,51,0,3504,256
133,2021,1,3206,2462,2323,6,2208,160,49,2435,27,0,2303,159
153,2021,1,3300,2864,2834,6,2484,214,71,2819,45,0,2658,206
154,2021,1,3580,3179,3176,6,2874,195,45,3134,45,0,3097,125
155,2021,1,4537,3662,3589,6,3439,153,27,3638,24,0,3437,225
156,2021,1,3432,3165,3145,6,2758,270,54,3120,45,0,2826,339
157,2021,1,1947,1870,1837,6,1570,139,65,1807,61,2,1784,94
158,2021,1,2489,2295,2243,6,1893,140,64,2180,115,0,2032,263
138,2021,1,5495,4105,4073,6,3821,193,33,4060,45,0,3979,126
159,2021,1,4463,3623,3612,6,3172,258,73,3557,65,1,3469,153
160,2021,1,2456,2050,2018,6,1881,126,27,2042,7,1,1999,50
161,2021,1,2570,2560,2499,6,2207,180,53,2493,67,0,2301,259
162,2021,1,3836,3192,3117,6,2839,186,59,3118,74,0,3090,102
68,2021,1,16530,13084,12988,3,12015,693,182,12890,116,78,12478,528
69,2021,1,4620,3685,3138,3,3517,130,18,3665,19,1,3606,78
70,2021,1,4031,3517,3263,5,3211,197,47,3463,52,2,3346,177
71,2021,1,5040,3945,3738,6,3666,160,33,3866,76,3,3717,225
72,2021,1,2829,2311,2267,5,2098,141,21,2273,37,1,2218,93
73,2021,1,3997,3521,3428,3,3217,158,49,3424,91,6,3348,167
74,2021,1,3690,3226,3125,5,2875,199,53,3143,83,0,3075,151
30,2021,1,2127,1958,1899,3,1721,134,30,1885,71,2,1675,281
31,2021,1,6006,5290,4638,3,4524,431,99,5054,218,18,5099,173
32,2021,1,2260,1957,1772,3,1801,74,27,1902,49,6,1895,56
33,2021,1,3200,2713,2497,3,2507,127,37,2671,42,0,2649,64
34,2021,1,4053,3347,3211,3,3126,135,24,3285,62,0,3406,6
20,2021,1,4150,3562,3358,3,3161,250,66,3477,85,0,3505,57
21,2021,1,2536,1941,1716,3,1828,76,12,1916,17,8,1811,124
22,2021,1,7635,6227,4749,6,5897,199,45,6152,69,6,5872,349
23,2021,1,3967,2844,2841,6,2666,114,16,2799,44,1,2844,46
24,2021,1,3258,2852,2834,4,2593,172,38,2814,38,0,2763,89
25,2021,1,3396,2803,2647,6,2563,121,33,2727,69,7,2736,77
26,2021,1,3897,3226,3189,6,2916,172,33,3140,81,5,3175,46
27,2021,1,3145,2562,2546,6,2431,82,8,2524,38,0,2498,64
