year_of_entry,la_name,school_phase,measure,count
2021,City of London,Primary,Admission Numbers,30
2021,City of London,Primary,Applications Received,28
2021,Camden,Primary,Admission Numbers,1628
2021,Camden,Primary,Applications Received,1519
2021,Greenwich,Primary,Admission Numbers,3839
2021,Greenwich,Primary,Applications Received,3268
2021,Hackney,Primary,Admission Numbers,2912
2021,Hackney,Primary,Applications Received,2121
2021,Hammersmith and Fulham,Primary,Admission Numbers,1429
2021,Hammersmith and Fulham,Primary,Applications Received,1253
2021,Islington,Primary,Admission Numbers,2310
2021,Islington,Primary,Applications Received,1964
2021,Kensington and Chelsea,Primary,Admission Numbers,1052
2021,Kensington and Chelsea,Primary,Applications Received,737
2021,Lambeth,Primary,Admission Numbers,3330
2021,Lambeth,Primary,Applications Received,2579
2021,Lewisham,Primary,Admission Numbers,3647
2021,Lewisham,Primary,Applications Received,3296
2021,Southwark,Primary,Admission Numbers,3659
2021,Southwark,Primary,Applications Received,2799
2021,Tower Hamlets,Primary,Admission Numbers,3513
2021,Tower Hamlets,Primary,Applications Received,3237
2021,Wandsworth,Primary,Admission Numbers,3164
2021,Wandsworth,Primary,Applications Received,2742
2021,Westminster,Primary,Admission Numbers,1560
2021,Westminster,Primary,Applications Received,1125
2021,Barking and Dagenham,Primary,Admission Numbers,4245
2021,Barking and Dagenham,Primary,Applications Received,3130
2021,Barnet,Primary,Admission Numbers,4434
2021,Barnet,Primary,Applications Received,4047
2021,Bexley,Primary,Admission Numbers,3371
2021,Bexley,Primary,Applications Received,2812
2021,Brent,Primary,Admission Numbers,4091
2021,Brent,Primary,Applications Received,3444
2021,Bromley,Primary,Admission Numbers,4219
2021,Bromley,Primary,Applications Received,3725
2021,Croydon,Primary,Admission Numbers,5475
2021,Croydon,Primary,Applications Received,4472
2021,Ealing,Primary,Admission Numbers,4440
2021,Ealing,Primary,Applications Received,3614
2021,Enfield,Primary,Admission Numbers,4563
2021,Enfield,Primary,Applications Received,3760
2021,Haringey,Primary,Admission Numbers,3206
2021,Haringey,Primary,Applications Received,2462
2021,Harrow,Primary,Admission Numbers,3300
2021,Harrow,Primary,Applications Received,2864
2021,Havering,Primary,Admission Numbers,3580
2021,Havering,Primary,Applications Received,3179
2021,Hillingdon,Primary,Admission Numbers,4537
2021,Hillingdon,Primary,Applications Received,3662
2021,Hounslow,Primary,Admission Numbers,3432
2021,Hounslow,Primary,Applications Received,3165
2021,Kingston upon Thames,Primary,Admission Numbers,1947
2021,Kingston upon Thames,Primary,Applications Received,1870
2021,Merton,Primary,Admission Numbers,2489
2021,Merton,Primary,Applications Received,2295
2021,Newham,Primary,Admission Numbers,5495
2021,Newham,Primary,Applications Received,4105
2021,Redbridge,Primary,Admission Numbers,4463
2021,Redbridge,Primary,Applications Received,3623
2021,Richmond upon Thames,Primary,Admission Numbers,2456
2021,Richmond upon Thames,Primary,Applications Received,2050
2021,Sutton,Primary,Admission Numbers,2570
2021,Sutton,Primary,Applications Received,2560
2021,Waltham Forest,Primary,Admission Numbers,3836
2021,Waltham Forest,Primary,Applications Received,3192
2021,Birmingham,Primary,Admission Numbers,16530
2021,Birmingham,Primary,Applications Received,13084
2021,Coventry,Primary,Admission Numbers,4620
2021,Coventry,Primary,Applications Received,3685
2021,Dudley,Primary,Admission Numbers,4031
2021,Dudley,Primary,Applications Received,3517
2021,Sandwell,Primary,Admission Numbers,5040
2021,Sandwell,Primary,Applications Received,3945
2021,Solihull,Primary,Admission Numbers,2829
2021,Solihull,Primary,Applications Received,2311
2021,Walsall,Primary,Admission Numbers,3997
2021,Walsall,Primary,Applications Received,3521
2021,Wolverhampton,Primary,Admission Numbers,3690
2021,Wolverhampton,Primary,Applications Received,3226
2021,Knowsley,Primary,Admission Numbers,2127
2021,Knowsley,Primary,Applications Received,1958
2021,Liverpool,Primary,Admission Numbers,6006
2021,Liverpool,Primary,Applications Received,5290
2021,St. Helens,Primary,Admission Numbers,2260
2021,St. Helens,Primary,Applications Received,1957
2021,Sefton,Primary,Admission Numbers,3200
2021,Sefton,Primary,Applications Received,2713
2021,Wirral,Primary,Admission Numbers,4053
2021,Wirral,Primary,Applications Received,3347
2021,Bolton,Primary,Admission Numbers,4150
2021,Bolton,Primary,Applications Received,3562
2021,Bury,Primary,Admission Numbers,2536
2021,Bury,Primary,Applications Received,1941
2021,Manchester,Primary,Admission Numbers,7635
2021,Manchester,Primary,Applications Received,6227
2021,Oldham,Primary,Admission Numbers,3967
2021,Oldham,Primary,Applications Received,2844
2021,Rochdale,Primary,Admission Numbers,3258
2021,Rochdale,Primary,Applications Received,2852
2021,Salford,Primary,Admission Numbers,3396
2021,Salford,Primary,Applications Received,2803
2021,Stockport,Primary,Admission Numbers,3897
2021,Stockport,Primary,Applications Received,3226
2021,Tameside,Primary,Admission Numbers,3145
2021,Tameside,Primary,Applications Received,2562
2021,Trafford,Primary,Admission Numbers,3154
2021,Trafford,Primary,Applications Received,2747
2021,Wigan,Primary,Admission Numbers,3974
2021,Wigan,Primary,Applications Received,3545
2021,Barnsley,Primary,Admission Numbers,3016
2021,Barnsley,Primary,Applications Received,2553
2021,Doncaster,Primary,Admission Numbers,4310
2021,Doncaster,Primary,Applications Received,2901
2021,Rotherham,Primary,Admission Numbers,3760
2021,Rotherham,Primary,Applications Received,2920
2021,Sheffield,Primary,Admission Numbers,6926
2021,Sheffield,Primary,Applications Received,5825
2021,Bradford,Primary,Admission Numbers,8207
2021,Bradford,Primary,Applications Received,7019
2021,Calderdale,Primary,Admission Numbers,3001
2021,Calderdale,Primary,Applications Received,2163
2021,Kirklees,Primary,Admission Numbers,5952
2021,Kirklees,Primary,Applications Received,4879
2021,Leeds,Primary,Admission Numbers,10695
2021,Leeds,Primary,Applications Received,9227
2021,Wakefield,Primary,Admission Numbers,4486
2021,Wakefield,Primary,Applications Received,3750
2021,Gateshead,Primary,Admission Numbers,2523
2021,Gateshead,Primary,Applications Received,1937
2021,Newcastle upon Tyne,Primary,Admission Numbers,3402
2021,Newcastle upon Tyne,Primary,Applications Received,2875
2021,North Tyneside,Primary,Admission Numbers,2588
2021,North Tyneside,Primary,Applications Received,2101
2021,South Tyneside,Primary,Admission Numbers,1822
2021,South Tyneside,Primary,Applications Received,1485
2021,Sunderland,Primary,Admission Numbers,3471
2021,Sunderland,Primary,Applications Received,2835
2021,Bath and North East Somerset,Primary,Admission Numbers,2258
2021,Bath and North East Somerset,Primary,Applications Received,1690
2021,"Bristol, City of",Primary,Admission Numbers,6256
2021,"Bristol, City of",Primary,Applications Received,5000
2021,North Somerset,Primary,Admission Numbers,2657
2021,North Somerset,Primary,Applications Received,2122
2021,South Gloucestershire,Primary,Admission Numbers,3701
2021,South Gloucestershire,Primary,Applications Received,3064
2021,Hartlepool,Primary,Admission Numbers,1280
2021,Hartlepool,Primary,Applications Received,996
2021,Middlesbrough,Primary,Admission Numbers,2086
2021,Middlesbrough,Primary,Applications Received,1807
2021,Redcar and Cleveland,Primary,Admission Numbers,1817
2021,Redcar and Cleveland,Primary,Applications Received,1447
2021,Stockton-on-Tees,Primary,Admission Numbers,2798
2021,Stockton-on-Tees,Primary,Applications Received,2081
2021,"Kingston Upon Hull, City of",Primary,Admission Numbers,3645
2021,"Kingston Upon Hull, City of",Primary,Applications Received,3054
2021,East Riding of Yorkshire,Primary,Admission Numbers,4010
2021,East Riding of Yorkshire,Primary,Applications Received,2899
2021,North East Lincolnshire,Primary,Admission Numbers,2164
2021,North East Lincolnshire,Primary,Applications Received,1597
2021,North Lincolnshire,Primary,Admission Numbers,2151
2021,North Lincolnshire,Primary,Applications Received,1663
2021,North Yorkshire,Primary,Admission Numbers,7361
2021,North Yorkshire,Primary,Applications Received,5376
2021,York,Primary,Admission Numbers,2115
2021,York,Primary,Applications Received,1751
2021,Luton,Primary,Admission Numbers,3582
2021,Luton,Primary,Applications Received,2983
2021,Bedford,Primary,Admission Numbers,2620
2021,Bedford,Primary,Applications Received,2078
2021,Central Bedfordshire,Primary,Admission Numbers,4244
2021,Central Bedfordshire,Primary,Applications Received,3394
2021,Buckinghamshire,Primary,Admission Numbers,6823
2021,Buckinghamshire,Primary,Applications Received,5690
2021,Milton Keynes,Primary,Admission Numbers,4270
2021,Milton Keynes,Primary,Applications Received,3342
2021,Derbyshire,Primary,Admission Numbers,9856
2021,Derbyshire,Primary,Applications Received,7488
2021,Derby,Primary,Admission Numbers,3693
2021,Derby,Primary,Applications Received,2690
2021,Dorset,Primary,Admission Numbers,3943
2021,Dorset,Primary,Applications Received,3085
2021,Bournemouth Christchurch and Poole,Primary,Admission Numbers,4196
2021,Bournemouth Christchurch and Poole,Primary,Applications Received,3714
2021,Durham,Primary,Admission Numbers,6578
2021,Durham,Primary,Applications Received,4541
2021,Darlington,Primary,Admission Numbers,1312
2021,Darlington,Primary,Applications Received,1052
2021,East Sussex,Primary,Admission Numbers,5819
2021,East Sussex,Primary,Applications Received,4845
2021,Brighton and Hove,Primary,Admission Numbers,2820
2021,Brighton and Hove,Primary,Applications Received,2300
2021,Hampshire,Primary,Admission Numbers,16216
2021,Hampshire,Primary,Applications Received,14118
2021,Portsmouth,Primary,Admission Numbers,2490
2021,Portsmouth,Primary,Applications Received,2015
2021,Southampton,Primary,Admission Numbers,2924
2021,Southampton,Primary,Applications Received,2577
2021,Leicestershire,Primary,Admission Numbers,8740
2021,Leicestershire,Primary,Applications Received,7114
2021,Leicester,Primary,Admission Numbers,4928
2021,Leicester,Primary,Applications Received,4265
2021,Rutland,Primary,Admission Numbers,477
2021,Rutland,Primary,Applications Received,343
2021,Staffordshire,Primary,Admission Numbers,10665
2021,Staffordshire,Primary,Applications Received,8710
2021,Stoke-on-Trent,Primary,Admission Numbers,3405
2021,Stoke-on-Trent,Primary,Applications Received,2938
2021,Wiltshire,Primary,Admission Numbers,6615
2021,Wiltshire,Primary,Applications Received,4938
2021,Swindon,Primary,Admission Numbers,3235
2021,Swindon,Primary,Applications Received,2682
2021,Bracknell Forest,Primary,Admission Numbers,1565
2021,Bracknell Forest,Primary,Applications Received,1332
2021,Windsor and Maidenhead,Primary,Admission Numbers,1760
2021,Windsor and Maidenhead,Primary,Applications Received,1447
2021,West Berkshire,Primary,Admission Numbers,2011
2021,West Berkshire,Primary,Applications Received,1666
2021,Reading,Primary,Admission Numbers,2110
2021,Reading,Primary,Applications Received,1796
2021,Slough,Primary,Admission Numbers,2445
2021,Slough,Primary,Applications Received,2239
2021,Wokingham,Primary,Admission Numbers,2395
2021,Wokingham,Primary,Applications Received,1980
2021,Cambridgeshire,Primary,Admission Numbers,8328
2021,Cambridgeshire,Primary,Applications Received,6348
2021,Peterborough,Primary,Admission Numbers,3333
2021,Peterborough,Primary,Applications Received,2591
2021,Halton,Primary,Admission Numbers,1689
2021,Halton,Primary,Applications Received,1364
2021,Warrington,Primary,Admission Numbers,2705
