year_of_entry,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,school_phase,nc_year_admission,admission_numbers,applications_received,online_applications,online_apps_percent,no_of_preferences,first_preference_offers,first_preference_offers_percent,second_preference_offers,second_preference_offers_percent,third_preference_offers,third_preference_offers_percent,one_of_the_three_preference_offers,one_of_the_three_preference_offers_percent,preferred_school_offer,preferred_school_offer_percent,non_preferred_offer,non_preferred_offer_percent,no_offer,no_offer_percent,schools_in_la_offer,schools_in_la_offer_percent,schools_in_another_la_offer,schools_in_another_la_offer_percent,offers_to_nonapplicants
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000001,201,City of London,Primary,R,30,28,28,1,6,25,0.8928571429000001,1,0.03571428571,0,0,26,0.9285714286,28,1,0,0,0,0,10,0.3571428571,18,0.6428571429000001,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000007,202,Camden,Primary,R,1628,1519,1518,0.9993416722,6,1182,0.7781435154999999,148,0.09743252139999999,60,0.03949967084,1390,0.9150757077,1434,0.944042133,77,0.05069124424,8,0.00526662278,1354,0.8960953010999999,157,0.10390469890000001,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000011,203,Greenwich,Primary,R,3839,3268,3254,0.9957160343,6,2905,0.8889228885999999,217,0.06640146879,63,0.01927784578,3185,0.9746022032,3225,0.9868421053,43,0.01315789474,0,0,3039,0.9299265606,229,0.07007343941000001,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000012,204,Hackney,Primary,R,2912,2121,2081,0.9811409712,6,1930,0.9099481376999999,93,0.04384724187,40,0.01885902876,2063,0.9726544083,2083,0.9820839227,38,0.017916077319999998,0,0,1983,0.9349363508,138,0.06506364922,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000013,205,Hammersmith and Fulham,Primary,R,1429,1253,1232,0.9832402235000001,6,997,0.7956903432,110,0.08778930567,46,0.03671189146,1153,0.9201915402999999,1200,0.9577015163999999,47,0.03750997606,6,0.00478850758,1150,0.9214743590000001,98,0.07852564103,1
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000019,206,Islington,Primary,R,2310,1964,1964,1,6,1541,0.7846232179,171,0.08706720978,70,0.03564154786,1782,0.9073319755999999,1868,0.9511201629,96,0.04887983707,0,0,1736,0.8839103869999999,228,0.11608961300000001,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000020,207,Kensington and Chelsea,Primary,R,1052,737,726,0.9850746268999999,6,491,0.6662143826000001,86,0.1166892809,46,0.06241519674,623,0.8453188602,659,0.894165536,78,0.105834464,0,0,707,0.9592944369,30,0.040705563089999994,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000022,208,Lambeth,Primary,R,3330,2579,2555,0.9906940675,6,2220,0.8607987592,210,0.08142690965,68,0.02636680884,2498,0.9685924777,2550,0.9887553315,29,0.01124466848,0,0,2347,0.9100426521999999,232,0.08995734780999999,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000023,209,Lewisham,Primary,R,3647,3296,3197,0.9699635922000001,6,2864,0.8689320388,220,0.06674757282,84,0.02548543689,3168,0.9611650485,3221,0.9772451456,0,0,75,0.02275485437,2915,0.9049984476999999,306,0.09500155231000001,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000028,210,Southwark,Primary,R,3659,2799,2770,0.9896391568,6,2460,0.8788853162,197,0.07038227939000001,66,0.02357984995,2723,0.9728474455,2766,0.9882100749999999,33,0.01178992497,0,0,2613,0.9335476956,186,0.06645230439,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000030,211,Tower Hamlets,Primary,R,3513,3237,3219,0.9944392956,6,2859,0.8832252085000001,170,0.05251776336,57,0.017608897130000002,3086,0.953351869,3125,0.9654000618,111,0.03429101019,1,3.0892802e-4,3135,0.9687886279,101,0.031211372060000003,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000032,212,Wandsworth,Primary,R,3164,2742,2623,0.9566010212,6,2262,0.8249452954000001,213,0.07768052516,104,0.03792851933,2579,0.9405543398999999,2669,0.9733770970000001,73,0.02662290299,0,0,2523,0.920131291,219,0.07986870897000001,0
2021,Academic year,Local authority,E92000001,England,E13000001,Inner London,E09000033,213,Westminster,Primary,R,1560,1125,1069,0.9502222222000001,6,971,0.8631111110999999,74,0.06577777777999999,32,0.02844444444,1077,0.9573333332999999,1095,0.9733333333,30,0.02666666667,0,0,980,0.8711111111,145,0.1288888889,0
2021,Academic year,Local authority,E92000001,England,E13000002,Outer London,E09000002,301,Barking and Dagenham,Primary,R,4245,3130,3111,0.9939297125000001,6,2956,0.9444089457,116,0.03706070288,22,0.00702875399,3094,0.9884984025999999,3104,0.9916932907,0,0,26,0.00830670927,2889,0.9307345361,215,0.06926546391999999,0
