lea,urn,estab,dfe_number,laestab,schname,admin_district,academic_year,estab_type,education_phase,relchar,percentage_fsm,ofsted_rating,totpups,readprog,writprog,matprog
850,115851,2001,850/2001,8502001,Anstey Junior School,East Hampshire,2016-2017,Local authority maintained schools,Primary,Does not apply,16.5,Good,248,-1.8,-0.6,-1.1
850,115851,2001,850/2001,8502001,Anstey Junior School,East Hampshire,2017-2018,Local authority maintained schools,Primary,Does not apply,16.5,Good,249,-2,-2.9,-2
850,115851,2001,850/2001,8502001,Anstey Junior School,East Hampshire,2018-2019,Local authority maintained schools,Primary,Does not apply,16.5,Good,240,-1.9,-2.8,-2.6
850,115852,2002,850/2002,8502002,Balksbury Junior School,Test Valley,2016-2017,Local authority maintained schools,Primary,Does not apply,9.9,Good,349,-2,-1.9,-2.2
850,115852,2002,850/2002,8502002,Balksbury Junior School,Test Valley,2017-2018,Local authority maintained schools,Primary,Does not apply,9.9,Good,351,-2.6,-1,-1.6
850,115852,2002,850/2002,8502002,Balksbury Junior School,Test Valley,2018-2019,Local authority maintained schools,Primary,Does not apply,9.9,Good,357,-3.6,-1.9,-3.2
850,115853,2003,850/2003,8502003,Portway Junior School,Test Valley,2016-2017,Local authority maintained schools,Primary,Does not apply,13.9,Good,372,-0.4,-2.3,1
850,115853,2003,850/2003,8502003,Portway Junior School,Test Valley,2017-2018,Local authority maintained schools,Primary,Does not apply,13.9,Good,378,-1.9,-2.5,-1.2
850,115853,2003,850/2003,8502003,Portway Junior School,Test Valley,2018-2019,Local authority maintained schools,Primary,Does not apply,13.9,Good,381,-3.9,-3.4,-3
850,115854,2004,850/2004,8502004,Anton Junior School,Test Valley,2016-2017,Local authority maintained schools,Primary,Does not apply,5.9,Outstanding,257,2.4,0.4,0
850,115854,2004,850/2004,8502004,Anton Junior School,Test Valley,2017-2018,Local authority maintained schools,Primary,Does not apply,5.9,Outstanding,257,0.7,1.2,-1.5
850,115854,2004,850/2004,8502004,Anton Junior School,Test Valley,2018-2019,Local authority maintained schools,Primary,Does not apply,5.9,Outstanding,256,-0.9,1.3,-1.2
850,115858,2008,850/2008,8502008,Winklebury Junior School,Basingstoke and Deane,2016-2017,Local authority maintained schools,Primary,Does not apply,20.4,Good,162,-1.6,0.8,-0.2
850,115858,2008,850/2008,8502008,Winklebury Junior School,Basingstoke and Deane,2017-2018,Local authority maintained schools,Primary,Does not apply,20.4,Good,199,-3.5,-1.3,-2.2
850,115858,2008,850/2008,8502008,Winklebury Junior School,Basingstoke and Deane,2018-2019,Local authority maintained schools,Primary,Does not apply,20.4,Good,213,-2.4,-1.7,-2.3
