source_table,source_field,source_value_example
r_offers_la,time_period,202122
r_offers_la,time_identifier,Academic year
r_offers_la,geographic_level,National
r_offers_la,country_code,E92000001
r_offers_la,country_name,England
r_offers_la,region_code,
r_offers_la,region_name,
r_offers_la,new_la_code,
r_offers_la,old_la_code,
r_offers_la,la_name,
r_offers_la,school_phase,Primary
r_offers_la,nc_year_admission,:
r_offers_la,admission_numbers,709911
r_offers_la,applications_received,580771
r_offers_la,online_applications,555594
r_offers_la,online_apps_percent,95.66490062
r_offers_la,no_of_preferences,:
r_offers_la,first_preference_offers,533014
r_offers_la,first_preference_offers_percent,91.77696545
r_offers_la,second_preference_offers,28667
r_offers_la,second_preference_offers_percent,4.936024698
r_offers_la,third_preference_offers,7216
r_offers_la,third_preference_offers_percent,1.242486281
r_offers_la,one_of_the_three_preference_offers,568897
r_offers_la,one_of_the_three_preference_offers_percent,97.95547643
r_offers_la,preferred_school_offer,571192
r_offers_la,preferred_school_offer_percent,98.35064079
r_offers_la,non_preferred_offer,8828
r_offers_la,non_preferred_offer_percent,1.52004835
r_offers_la,no_offer,751
r_offers_la,no_offer_percent,0.129310864
r_offers_la,schools_in_la_offer,562334
r_offers_la,schools_in_la_offer_percent,96.87463392
r_offers_la,schools_in_another_la_offer,18142
r_offers_la,schools_in_another_la_offer_percent,3.125366079
r_offers_la,offers_to_nonapplicants,456
r_offers_sch,filename,data-in/offers-school/2018_936_waverley_offers_school.csv
r_offers_sch,intake_year,2018
r_offers_sch,school_name,All Saints Church of England (Aided) Infant School
r_offers_sch,la_code,936
r_offers_sch,estab_code,3407
r_offers_sch,dfe_no,936/3407
r_offers_sch,pan,30
r_offers_sch,total_preferences,149
r_offers_sch,total_offered,30
r_offers_sch,last_distance_offered,4.19
r_offers_crit,filename,data-in/offers-criteria/2018_936_waverley_offers_crit.csv
r_offers_crit,intake_year,2018
r_offers_crit,school_name,All Saints Church of England (Aided) Infant School
r_offers_crit,la_code,936
r_offers_crit,estab_code,3407
r_offers_crit,dfe_no,936/3407
r_offers_crit,criterion,LAC & PLAC
r_offers_crit,criterion_category,Priority
r_offers_crit,criterion_description,Looked after and previously looked after children
r_offers_crit,priority,1
r_offers_crit,criterion_offers,0
r_info,filename,data-in/info/20220425_gias.csv
r_info,urn,1e+05
r_info,la_code,201
r_info,la_name,City of London
r_info,establishment_number,3614
r_info,establishment_name,The Aldgate School
r_info,type_of_establishment_name,Voluntary aided school
r_info,establishment_type_group_name,Local authority maintained schools
r_info,establishment_status_name,Open
r_info,reason_establishment_opened_name,Not applicable
r_info,open_date,
r_info,reason_establishment_closed_name,Not applicable
r_info,close_date,
r_info,phase_of_education_name,Primary
r_info,statutory_low_age,3
r_info,statutory_high_age,11
r_info,boarders_name,No boarders
r_info,nursery_provision_name,Has Nursery Classes
r_info,official_sixth_form_name,Does not have a sixth form
r_info,gender_name,Mixed
r_info,religious_character_name,Church of England
r_info,religious_ethos_name,Does not apply
r_info,diocese_name,Diocese of London
r_info,admissions_policy_name,Not applicable
r_info,school_capacity,276
r_info,special_classes_name,No Special Classes
r_info,census_date,21-01-2021
r_info,number_of_pupils,270
r_info,number_of_boys,133
r_info,number_of_girls,137
r_info,percentage_fsm,13.7
r_info,trust_school_flag_name,Not applicable
r_info,trusts_name,
r_info,school_sponsor_flag_name,Not applicable
r_info,school_sponsors_name,
r_info,federation_flag_name,Not under a federation
r_info,federations_name,
r_info,ukprn,10079319
r_info,fehe_identifier,
r_info,further_education_type_name,Not applicable
r_info,ofsted_last_insp,19-04-2013
r_info,last_changed_date,21-02-2022
r_info,street,St James's Passage
r_info,locality,Duke's Place
r_info,address3,
r_info,town,London
r_info,county_name,
r_info,postcode,EC3A 5DE
r_info,school_website,www.thealdgateschool.org
r_info,telephone_num,02072831147
r_info,head_title_name,Miss
r_info,head_first_name,Alexandra
r_info,head_last_name,Allan
r_info,head_preferred_job_title,Headteacher
r_info,bso_inspectorate_name_name,Not applicable
r_info,inspectorate_report,
r_info,date_of_last_inspection_visit,
r_info,next_inspection_visit,
r_info,teen_moth_name,Not applicable
r_info,teen_moth_places,
r_info,ccf_name,Not applicable
r_info,senpru_name,Not applicable
r_info,ebd_name,Not applicable
r_info,places_pru,
r_info,ft_prov_name,
r_info,ed_by_other_name,Not applicable
r_info,section41approved_name,Not applicable
r_info,sen1_name,
r_info,sen2_name,
r_info,sen3_name,
r_info,sen4_name,
r_info,sen5_name,
r_info,sen6_name,
r_info,sen7_name,
r_info,sen8_name,
r_info,sen9_name,
r_info,sen10_name,
r_info,sen11_name,
r_info,sen12_name,
r_info,sen13_name,
r_info,type_of_resourced_provision_name,
r_info,resourced_provision_on_roll,
r_info,resourced_provision_capacity,
r_info,sen_unit_on_roll,
r_info,sen_unit_capacity,
r_info,gor_name,London
r_info,district_administrative_name,City of London
r_info,administrative_ward_name,Portsoken
r_info,parliamentary_constituency_name,Cities of London and Westminster
r_info,urban_rural_name,(England/Wales) Urban major conurbation
r_info,gssla_code_name,E09000001
r_info,easting,533498
r_info,northing,181201
r_info,msoa_name,City of London 001
r_info,lsoa_name,City of London 001F
r_info,inspectorate_name_name,
r_info,sen_stat,
r_info,sen_no_stat,
